Date,Value
2018-10-01,14.109
2018-09-28,14.1581
2018-09-27,14.1595
2018-09-26,14.2923
2018-09-25,14.4062
2018-09-21,14.243
2018-09-20,14.4579
2018-09-19,14.7379
2018-09-18,14.904
2018-09-17,14.9919
2018-09-14,14.7924
2018-09-13,14.8524
2018-09-12,15.0289
2018-09-11,15.051
2018-09-10,15.16
2018-09-07,15.1412
2018-09-06,15.3164
2018-09-05,15.5487
2018-09-04,15.0512
2018-09-03,14.7238
2018-08-31,14.6545
2018-08-30,14.5954
2018-08-29,14.3791
2018-08-28,14.1545
2018-08-27,14.2986
2018-08-24,14.3141
2018-08-23,14.3578
2018-08-22,14.4359
2018-08-21,14.3838
2018-08-20,14.4698
2018-08-17,14.7038
2018-08-16,14.4624
2018-08-15,14.3246
2018-08-14,14.292
2018-08-13,14.4797
2018-08-10,13.9231
2018-08-08,13.3258
2018-08-07,13.3375
2018-08-06,13.386
2018-08-03,13.4584
2018-08-02,13.3216
2018-08-01,13.2809
2018-07-31,13.1591
2018-07-30,13.1967
2018-07-27,13.2126
2018-07-26,13.1899
2018-07-25,13.2486
2018-07-24,13.4718
2018-07-23,13.5361
2018-07-20,13.4712
2018-07-19,13.4013
2018-07-18,13.2873
2018-07-17,13.2592
2018-07-16,13.2485
2018-07-13,13.3321
2018-07-12,13.481
2018-07-11,13.4334
2018-07-10,13.3937
2018-07-09,13.4163
2018-07-06,13.5396
2018-07-05,13.6922
2018-07-04,13.711
2018-07-03,13.741
2018-07-02,13.7497
2018-06-29,13.7432
2018-06-28,13.8162
2018-06-27,13.6214
2018-06-26,13.533
2018-06-25,13.4609
2018-06-22,13.5607
2018-06-21,13.7081
2018-06-20,13.6965
2018-06-19,13.8802
2018-06-18,13.4661
2018-06-15,13.3907
2018-06-14,13.1803
2018-06-13,13.3752
2018-06-12,13.1821
2018-06-11,13.0899
2018-06-08,13.2609
2018-06-07,12.7019
2018-06-06,12.8058
2018-06-05,12.5494
2018-06-04,12.5824
2018-06-01,12.6638
2018-05-31,12.4805
2018-05-30,12.5843
2018-05-29,12.6205
2018-05-28,12.446
2018-05-25,12.4702
2018-05-24,12.4318
2018-05-23,12.6438
2018-05-22,12.5477
2018-05-21,12.8058
2018-05-18,12.5732
2018-05-17,12.4682
2018-05-16,12.5535
2018-05-15,12.4074
2018-05-14,12.2416
2018-05-11,12.3146
2018-05-10,12.4674
2018-05-09,12.6397
2018-05-08,12.577
2018-05-07,12.5266
2018-05-04,12.645
2018-05-03,12.6222
2018-05-02,12.6052
2018-04-30,12.3651
2018-04-26,12.3938
2018-04-25,12.426
2018-04-24,12.3029
2018-04-23,12.2311
2018-04-20,11.9969
2018-04-19,11.9429
2018-04-18,12.0029
2018-04-17,12.0305
2018-04-16,12.0609
2018-04-13,12.0478
2018-04-12,11.9932
2018-04-11,12.0429
2018-04-10,12.1081
2018-04-09,12.0349
2018-04-06,12.0635
2018-04-05,11.9202
2018-04-04,11.864
2018-04-03,11.8154
2018-03-29,11.8128
2018-03-28,11.6886
2018-03-27,11.6627
2018-03-26,11.636
2018-03-23,11.7932
2018-03-22,11.7855
2018-03-20,12.0042
2018-03-19,12.0635
2018-03-16,11.9285
2018-03-15,11.8138
2018-03-14,11.7579
2018-03-13,11.837
2018-03-12,11.8087
2018-03-09,11.9021
2018-03-08,11.8974
2018-03-07,11.8199
2018-03-06,11.8346
2018-03-05,11.9714
2018-03-02,11.8574
2018-03-01,11.8545
2018-02-28,11.7735
2018-02-27,11.577
2018-02-26,11.5604
2018-02-23,11.6382
2018-02-22,11.7177
2018-02-21,11.7154
2018-02-20,11.716
2018-02-19,11.6655
2018-02-16,11.6155
2018-02-15,11.665
2018-02-14,11.8674
2018-02-13,11.9255
2018-02-12,11.9721
2018-02-09,12.0832
2018-02-08,12.0852
2018-02-07,11.9469
2018-02-06,12.0987
2018-02-05,12.0416
2018-02-02,11.9532
2018-02-01,11.874
2018-01-31,11.8753
2018-01-30,12.0271
2018-01-29,11.9336
2018-01-26,11.8483
2018-01-25,11.9288
2018-01-24,11.996
2018-01-23,12.1146
2018-01-22,12.0524
2018-01-19,12.1518
2018-01-18,12.2445
2018-01-17,12.3055
2018-01-16,12.2532
2018-01-15,12.3682
2018-01-12,12.4182
2018-01-11,12.4626
2018-01-10,12.384
2018-01-09,12.423
2018-01-08,12.3946
2018-01-05,12.3477
2018-01-04,12.3018
2018-01-03,12.3954
2018-01-02,12.333
2017-12-29,12.294
2017-12-28,12.2566
2017-12-27,12.4921
2017-12-22,12.7144
2017-12-21,12.7682
2017-12-20,12.7063
2017-12-19,12.7394
2017-12-18,13.0693
2017-12-15,13.4802
2017-12-14,13.4695
2017-12-13,13.6267
2017-12-12,13.6146
2017-12-11,13.6608
2017-12-08,13.6988
2017-12-07,13.5954
2017-12-06,13.4916
2017-12-05,13.5186
2017-12-04,13.7535
2017-12-01,13.6687
2017-11-30,13.6423
2017-11-29,13.6385
2017-11-28,13.738
2017-11-27,14.013
2017-11-24,13.9383
2017-11-23,13.8496
2017-11-22,13.8975
2017-11-21,14.1012
2017-11-20,14.0419
2017-11-17,14.2125
2017-11-16,14.3315
2017-11-15,14.3449
2017-11-14,14.4606
2017-11-13,14.4217
2017-11-10,14.2788
2017-11-09,14.1496
2017-11-08,14.158
2017-11-07,14.1763
2017-11-06,14.2307
2017-11-03,14.0711
2017-11-02,13.9794
2017-11-01,14.1251
2017-10-31,14.0524
2017-10-30,14.0952
2017-10-27,14.2799
2017-10-26,14.181
2017-10-25,13.6611
2017-10-24,13.6619
2017-10-23,13.681
2017-10-20,13.6213
2017-10-19,13.5283
2017-10-18,13.4424
2017-10-17,13.3224
2017-10-16,13.3063
2017-10-13,13.3902
2017-10-12,13.4722
2017-10-11,13.5912
2017-10-10,13.7365
2017-10-09,13.7891
2017-10-06,13.6944
2017-10-05,13.5927
2017-10-04,13.5947
2017-10-03,13.6485
2017-10-02,13.6246
2017-09-29,13.4943
2017-09-28,13.6071
2017-09-27,13.466
2017-09-26,13.2977
2017-09-22,13.1908
2017-09-21,13.3476
2017-09-20,13.2923
2017-09-19,13.3274
2017-09-18,13.2024
2017-09-15,13.1399
2017-09-14,13.1293
2017-09-13,13.0443
2017-09-12,12.9233
2017-09-11,12.8736
2017-09-08,12.8247
2017-09-07,12.8128
2017-09-06,12.9216
2017-09-05,12.9677
2017-09-04,12.9535
2017-09-01,12.9576
2017-08-31,13.0274
2017-08-30,13.0285
2017-08-29,13.0524
2017-08-28,13.0521
2017-08-25,13.1516
2017-08-24,13.1991
2017-08-23,13.2366
2017-08-22,13.1933
2017-08-21,13.2058
2017-08-18,13.2385
2017-08-17,13.1752
2017-08-16,13.2668
2017-08-15,13.3194
2017-08-14,13.3532
2017-08-11,13.4937
2017-08-10,13.3931
2017-08-08,13.2272
2017-08-07,13.3987
2017-08-04,13.3518
2017-08-03,13.2676
2017-08-02,13.2812
2017-08-01,13.1918
2017-07-31,13.048
2017-07-28,13.0274
2017-07-27,12.9136
2017-07-26,13.0458
2017-07-25,12.9774
2017-07-24,12.9432
2017-07-21,12.9787
